#Optimization obtained via Optimization of the largest Eigenvalue
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
230 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
231 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
232 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
233 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
234 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
235 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
236 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
237 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
238 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
239 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
240 0.001309 0.993745 0.993745 1.362899 1.362899 1.000000 1.000000 1.000000
241 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
242 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
243 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
244 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
245 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
246 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
247 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
248 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
249 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
250 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
251 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
252 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
253 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
254 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
255 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
256 0.001361 0.993500 0.993500 1.362107 1.362107 1.000000 1.000000 1.000000
