#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand MutInfOpt MutInfStand Purity1 Purity2 Purity3
#
204 0.001260 0.993980 0.993978 1.364055 1.363659 1.000000 1.000000 1.000000
205 0.001260 0.993981 0.993980 1.364060 1.363665 1.000000 1.000000 1.000000
206 0.001260 0.993981 0.993979 1.364061 1.363663 1.000000 1.000000 1.000000
207 0.001260 0.993981 0.993979 1.364061 1.363662 1.000000 1.000000 1.000000
208 0.001260 0.993982 0.993979 1.364063 1.363661 1.000000 1.000000 1.000000
209 0.001260 0.993981 0.993979 1.364061 1.363662 1.000000 1.000000 1.000000
210 0.001260 0.993982 0.993979 1.364063 1.363663 1.000000 1.000000 1.000000
211 0.001309 0.993746 0.993743 1.363311 1.362894 1.000000 1.000000 1.000000
212 0.001309 0.993747 0.993743 1.363311 1.362894 1.000000 1.000000 1.000000
213 0.001309 0.993746 0.993742 1.363307 1.362891 1.000000 1.000000 1.000000
214 0.001309 0.993747 0.993743 1.363311 1.362893 1.000000 1.000000 1.000000
215 0.001309 0.993747 0.993743 1.363313 1.362894 1.000000 1.000000 1.000000
216 0.001309 0.993746 0.993744 1.363309 1.362897 1.000000 1.000000 1.000000
217 0.001309 0.993747 0.993744 1.363311 1.362897 1.000000 1.000000 1.000000
218 0.001309 0.993746 0.993743 1.363309 1.362895 1.000000 1.000000 1.000000
219 0.001309 0.993747 0.993744 1.363312 1.362897 1.000000 1.000000 1.000000
220 0.001309 0.993746 0.993743 1.363308 1.362893 1.000000 1.000000 1.000000
221 0.001309 0.993746 0.993744 1.363310 1.362897 1.000000 1.000000 1.000000
222 0.001309 0.993745 0.993742 1.363299 1.362892 1.000000 1.000000 1.000000
223 0.001309 0.993745 0.993742 1.363305 1.362890 1.000000 1.000000 1.000000
224 0.001309 0.993746 0.993742 1.363308 1.362891 1.000000 1.000000 1.000000
225 0.001309 0.993747 0.993743 1.363311 1.362894 1.000000 1.000000 1.000000
226 0.001309 0.993746 0.993741 1.363309 1.362889 1.000000 1.000000 1.000000
227 0.001309 0.993745 0.993742 1.363304 1.362891 1.000000 1.000000 1.000000
228 0.001309 0.993745 0.993743 1.363305 1.362892 1.000000 1.000000 1.000000
229 0.001309 0.993746 0.993744 1.363310 1.362897 1.000000 1.000000 1.000000
230 0.001309 0.993744 0.993740 1.363300 1.362885 1.000000 1.000000 1.000000
231 0.001309 0.993747 0.993744 1.363313 1.362895 1.000000 1.000000 1.000000
232 0.001309 0.993745 0.993742 1.363306 1.362890 1.000000 1.000000 1.000000
233 0.001309 0.993745 0.993743 1.363305 1.362894 1.000000 1.000000 1.000000
234 0.001309 0.993747 0.993743 1.363312 1.362894 1.000000 1.000000 1.000000
235 0.001309 0.993746 0.993744 1.363307 1.362897 1.000000 1.000000 1.000000
236 0.001309 0.993746 0.993743 1.363307 1.362895 1.000000 1.000000 1.000000
237 0.001309 0.993746 0.993744 1.363310 1.362897 1.000000 1.000000 1.000000
238 0.001309 0.993746 0.993743 1.363309 1.362894 1.000000 1.000000 1.000000
239 0.001309 0.993745 0.993742 1.363305 1.362891 1.000000 1.000000 1.000000
240 0.001309 0.993746 0.993743 1.363310 1.362895 1.000000 1.000000 1.000000
241 0.001361 0.993502 0.993500 1.362537 1.362105 1.000000 1.000000 1.000000
242 0.001361 0.993501 0.993499 1.362526 1.362104 1.000000 1.000000 1.000000
243 0.001361 0.993502 0.993500 1.362533 1.362105 1.000000 1.000000 1.000000
244 0.001361 0.993500 0.993498 1.362525 1.362101 1.000000 1.000000 1.000000
245 0.001361 0.993502 0.993500 1.362535 1.362106 1.000000 1.000000 1.000000
246 0.001361 0.993500 0.993499 1.362519 1.362105 1.000000 1.000000 1.000000
247 0.001361 0.993502 0.993499 1.362537 1.362104 1.000000 1.000000 1.000000
248 0.001361 0.993503 0.993499 1.362538 1.362105 1.000000 1.000000 1.000000
249 0.001361 0.993502 0.993498 1.362536 1.362101 1.000000 1.000000 1.000000
250 0.001361 0.993502 0.993499 1.362536 1.362102 1.000000 1.000000 1.000000
251 0.001361 0.993502 0.993500 1.362535 1.362105 1.000000 1.000000 1.000000
252 0.001361 0.993502 0.993498 1.362532 1.362099 1.000000 1.000000 1.000000
253 0.001361 0.993501 0.993497 1.362530 1.362097 1.000000 1.000000 1.000000
254 0.001361 0.993502 0.993499 1.362535 1.362104 1.000000 1.000000 1.000000
255 0.001361 0.993501 0.993498 1.362532 1.362101 1.000000 1.000000 1.000000
256 0.001361 0.993503 0.993500 1.362539 1.362107 1.000000 1.000000 1.000000
