#Optimization obtained via Optimization of the purity of the resulting channel
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
172 0.021049 0.999995 1.000000 0.989109 1.386263 1.386291 1.352307 

174 0.021049 0.999922 1.000000 0.976799 1.385861 1.386291 1.322362 

164 0.021049 0.999962 0.999998 0.978608 1.386070 1.386283 1.326567 

161 0.021049 0.999972 1.000000 0.976592 1.386118 1.386292 1.321916 

173 0.021049 0.999999 1.000000 0.994592 1.386283 1.386294 1.367561 

163 0.021049 0.999949 1.000000 0.988897 1.385999 1.386292 1.351710 

176 0.021049 0.999987 0.999999 0.994963 1.386209 1.386284 1.368661 

178 0.021049 0.999937 0.999999 0.977940 1.385936 1.386288 1.324928 

162 0.021049 0.999955 1.000000 0.991980 1.386032 1.386293 1.360062 

170 0.021049 0.999926 1.000000 0.986693 1.385879 1.386294 1.346006 

175 0.021049 0.999967 1.000000 0.983171 1.386096 1.386293 1.337357 

168 0.021049 0.999961 0.999999 0.989783 1.386065 1.386288 1.354079 

177 0.021049 0.999960 1.000000 0.986704 1.386058 1.386293 1.346088 

167 0.021049 0.999965 0.999998 0.969241 1.386087 1.386281 1.305786 

179 0.021049 0.999981 1.000000 0.993973 1.386177 1.386294 1.365737 

180 0.021049 0.999988 1.000000 0.985817 1.386216 1.386292 1.343866 

185 0.023101 0.999978 1.000000 0.982997 1.386157 1.386293 1.336867 

198 0.023101 0.999900 0.999999 0.973128 1.385747 1.386285 1.314115 

188 0.023101 0.999958 0.999999 0.983408 1.386045 1.386285 1.337881 

187 0.023101 0.999962 0.999997 0.966904 1.386069 1.386275 1.300806 

194 0.023101 0.999856 0.999999 0.969021 1.385537 1.386290 1.305078 

197 0.023101 0.999913 1.000000 0.982099 1.385814 1.386292 1.334751 

181 0.023101 0.999967 1.000000 0.970173 1.386095 1.386292 1.307708 

193 0.023101 0.999984 1.000000 0.992967 1.386195 1.386294 1.362843 

183 0.023101 0.999908 1.000000 0.983872 1.385790 1.386291 1.338969 

189 0.023101 0.999978 1.000000 0.978022 1.386156 1.386293 1.325188 

