#Optimization obtained via Optimization of the distance to the set of unitaries
#
#Identifier DeltaT PurityOpt PurityStand PurityBase MutInfOpt MutInfStand MutInfBase 
#
239 0.027826 1.000000 1.000000 0.980943 1.386292 1.386292 1.331940 

240 0.027826 1.000000 0.999998 0.962233 1.386291 1.386280 1.290536 

257 0.030539 0.999999 0.999999 0.969576 1.386289 1.386289 1.306428 

253 0.030539 1.000000 0.999999 0.991315 1.386294 1.386283 1.358234 

242 0.030539 1.000000 0.999999 0.980214 1.386290 1.386289 1.330323 

252 0.030539 1.000000 1.000000 0.982777 1.386294 1.386290 1.336388 

250 0.030539 1.000000 1.000000 0.975641 1.386292 1.386291 1.319716 

244 0.030539 1.000000 1.000000 0.952951 1.386294 1.386293 1.272642 

251 0.030539 0.999999 0.999998 0.965866 1.386289 1.386281 1.298083 

256 0.030539 0.999998 0.999992 0.983671 1.386277 1.386240 1.338567 

245 0.030539 1.000000 1.000000 0.965086 1.386293 1.386293 1.296774 

249 0.030539 1.000000 0.999998 0.961333 1.386291 1.386281 1.289269 

246 0.030539 1.000000 0.999999 0.961110 1.386294 1.386283 1.288575 

258 0.030539 0.999999 0.999998 0.954890 1.386290 1.386280 1.276158 

248 0.030539 0.999999 0.999996 0.968899 1.386289 1.386265 1.304947 

255 0.030539 1.000000 0.999999 0.966294 1.386293 1.386289 1.299566 

254 0.030539 0.999999 0.999999 0.955224 1.386287 1.386283 1.276079 

243 0.030539 0.999999 0.999998 0.976551 1.386288 1.386282 1.321823 

241 0.030539 0.999999 0.999998 0.951468 1.386288 1.386277 1.269634 

247 0.030539 0.999999 0.999996 0.935121 1.386287 1.386263 1.238813 

260 0.030539 1.000000 0.999997 0.957464 1.386291 1.386276 1.280850 

259 0.030539 1.000000 1.000000 0.976197 1.386292 1.386291 1.320963 

278 0.033516 0.999999 0.999997 0.931830 1.386285 1.386270 1.231398 

265 0.033516 0.999999 0.999999 0.964427 1.386286 1.386287 1.295580 

264 0.033516 1.000000 0.999986 0.943561 1.386291 1.386206 1.254610 

273 0.033516 1.000000 1.000000 0.985736 1.386294 1.386291 1.343668 

277 0.033516 1.000000 1.000000 0.960922 1.386292 1.386292 1.288232 

268 0.033516 0.999997 0.999996 0.950747 1.386273 1.386269 1.268195 

